,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
202,Central America and the Caribbean,Jamaica,Meat,Online,H,9/14/2019,989660298,1330,$394.44,$340.96,$524605.2,$453476.8,$71128.4
203,Europe,Albania,Vegetables,Online,C,10/5/2018,476633536,5310,$151.37,$89.34,$803774.7,$474395.4,$329379.3
204,Asia,Japan,Baby Food,Offline,C,4/13/2019,131876122,3930,$279.84,$174.76,$1099771.2,$686806.8,$412964.4
205,North America,Equatorial Guinea,Meat,Offline,L,12/15/2020,514811885,3132,$397.31,$343.45,$1244374.92,$1075685.4,$168689.52
206,Asia,Myanmar,Office Supplies,Online,C,12/20/2016,905177152,889,$641.44,$517.08,$570240.16,$459684.12,$110556.04
207,Middle East and North Africa,Libya,Personal Care,Offline,H,7/2/2020,653020751,2207,$80.44,$55.77,$177531.08,$123084.39,$54446.69
208,Asia,Mongolia,Meat,Online,L,1/31/2021,528704011,4121,$418.24,$361.54,$1723567.04,$1489906.34,$233660.7
209,Asia,Singapore,Snacks,Offline,M,2/5/2023,472900760,699,$167.26,$106.82,$116914.74,$74667.18,$42247.56
210,Central America and the Caribbean,The Bahamas,Baby Food,Offline,L,7/23/2019,946597325,8039,$279.84,$174.76,$2249633.76,$1404895.64,$844738.12
211,Asia,Sri Lanka,Office Supplies,Offline,L,10/6/2020,681092536,9272,$699.12,$563.58,$6482240.64,$5225513.76,$1256726.88
212,Europe,Cyprus,Vegetables,Offline,C,7/2/2020,727997720,9558,$167.61,$98.93,$1602016.38,$945572.94,$656443.44
213,Middle East and North Africa,Afghanistan,Baby Food,Online,C,5/29/2019,409236705,1090,$279.84,$174.76,$305025.6,$190488.4,$114537.2
214,Europe,Moldova ,Personal Care,Online,M,3/11/2019,467045819,8092,$88.84,$61.6,$718893.28,$498467.2,$220426.08
215,Europe,Kosovo,Cosmetics,Offline,C,11/1/2018,813973891,1818,$419.34,$252.57,$762360.12,$459172.26,$303187.86
216,Middle East and North Africa,Egypt,Household,Online,M,5/22/2018,982882249,5554,$713.1,$536.25,$3960557.4,$2978332.5,$982224.9
217,Europe,Albania,Cosmetics,Offline,L,9/30/2022,576944720,9619,$465.35,$280.28,$4476201.65,$2696013.32,$1780188.33
218,Asia,Singapore,Vegetables,Offline,C,9/25/2022,619647634,6360,$147.2,$86.88,$936192.0,$552556.8,$383635.2
219,Europe,Portugal,Baby Food,Online,L,8/3/2023,404789817,5157,$271.86,$169.77,$1401982.02,$875503.89,$526478.13
220,Asia,India,Snacks,Offline,M,1/16/2016,646482598,7422,$141.5,$90.37,$1050213.0,$670726.14,$379486.86
221,North America,Sudan,Meat,Online,C,11/1/2022,329149806,1597,$397.98,$344.02,$635574.06,$549399.94,$86174.12
222,Australia and Oceania,Vanuatu,Office Supplies,Offline,M,11/25/2023,757527768,8155,$618.24,$498.38,$5041747.2,$4064288.9,$977458.3
223,North America,Democratic Republic of the Congo,Cosmetics,Online,C,9/24/2020,606665313,4602,$444.24,$267.57,$2044392.48,$1231357.14,$813035.34
224,Europe,Bosnia and Herzegovina,Baby Food,Online,C,4/30/2020,871923768,474,$236.58,$147.74,$112138.92,$70028.76,$42110.16
225,Europe,Kosovo,Vegetables,Offline,C,12/18/2018,818976962,2337,$151.37,$89.34,$353751.69,$208787.58,$144964.11
226,Europe,Switzerland,Cosmetics,Online,C,7/20/2021,233811223,8792,$418.06,$251.8,$3675583.52,$2213825.6,$1461757.92
227,Central America and the Caribbean,Cuba,Beverages,Offline,L,2/16/2021,772725379,5466,$49.88,$33.42,$272644.08,$182673.72,$89970.36
228,Europe,Lithuania,Office Supplies,Offline,C,12/15/2022,112330758,22,$643.16,$518.47,$14149.52,$11406.34,$2743.18
229,Middle East and North Africa,Lebanon,Clothes,Online,M,12/28/2017,499551188,7153,$109.51,$35.92,$783325.03,$256935.76,$526389.27
230,Asia,North Korea,Clothes,Online,M,5/28/2019,201622998,3581,$107.81,$35.36,$386067.61,$126624.16,$259443.45
231,Europe,Montenegro,Office Supplies,Offline,H,7/2/2020,256095016,3061,$699.12,$563.58,$2140006.32,$1725118.38,$414887.94
232,North America,Eritrea,Fruits,Offline,M,3/21/2021,420828568,1380,$9.73,$7.21,$13427.4,$9949.8,$3477.6
233,North America,Democratic Republic of the Congo,Cereal,Online,L,3/17/2019,523997485,1355,$197.33,$112.34,$267382.15,$152220.7,$115161.45
234,Asia,India,Office Supplies,Online,C,4/30/2016,914088094,7835,$641.44,$517.08,$5025682.4,$4051321.8,$974360.6
235,North America,Republic of the Congo,Snacks,Online,M,9/16/2019,209899222,2699,$154.99,$98.98,$418318.01,$267147.02,$151170.99
236,North America,Comoros,Clothes,Offline,M,5/30/2020,250542199,9859,$117.99,$38.7,$1163263.41,$381543.3,$781720.11
237,Europe,France,Meat,Online,L,11/28/2023,245440852,257,$421.9,$364.7,$108428.3,$93727.9,$14700.4
238,North America,Rwanda,Vegetables,Online,L,3/7/2023,824331510,6867,$141.08,$83.27,$968796.36,$571815.09,$396981.27
239,North America,Malawi,Meat,Online,M,1/15/2020,887263000,9693,$397.31,$343.45,$3851125.83,$3329060.85,$522064.98
240,North America,Cote d'Ivoire,Cereal,Offline,H,5/22/2023,754596650,772,$200.03,$113.88,$154423.16,$87915.36,$66507.8
241,Europe,Spain,Fruits,Online,H,10/22/2017,817006289,9172,$9.88,$7.33,$90619.36,$67230.76,$23388.6
242,North America,Uganda,Clothes,Offline,H,2/8/2018,185478246,5989,$109.01,$35.75,$652860.89,$214106.75,$438754.14
243,Asia,Taiwan,Personal Care,Offline,C,10/16/2020,741311347,9356,$80.44,$55.77,$752596.64,$521784.12,$230812.52
244,Middle East and North Africa,Israel,Personal Care,Offline,M,11/14/2017,386116921,9432,$81.65,$56.61,$770122.8,$533945.52,$236177.28
245,Central America and the Caribbean,Costa Rica,Meat,Offline,L,5/3/2023,691818797,3411,$421.9,$364.7,$1439100.9,$1243991.7,$195109.2
246,Central America and the Caribbean,Honduras,Snacks,Online,C,7/16/2023,150653302,515,$167.26,$106.82,$86138.9,$55012.3,$31126.6
247,Asia,South Korea,Vegetables,Offline,M,4/1/2023,925169265,7000,$141.08,$83.27,$987560.0,$582890.0,$404670.0
248,Europe,Sweden,Vegetables,Online,H,9/20/2016,298228013,1151,$148.02,$87.37,$170371.02,$100562.87,$69808.15
249,Australia and Oceania,Tonga,Office Supplies,Online,L,8/24/2016,123003375,8287,$641.44,$517.08,$5315613.28,$4285041.96,$1030571.32
250,Europe,Latvia,Snacks,Online,C,3/15/2021,972981679,5755,$142.54,$91.03,$820317.7,$523877.65,$296440.05
251,Asia,Indonesia,Beverages,Online,M,9/12/2020,791961753,7937,$48.74,$32.65,$386849.38,$259143.05,$127706.33
252,Asia,Myanmar,Household,Online,C,3/25/2017,744054925,1242,$718.44,$540.27,$892302.48,$671015.34,$221287.14
253,Asia,Turkmenistan,Office Supplies,Offline,L,3/3/2018,263685023,9113,$601.4,$484.81,$5480558.2,$4418073.53,$1062484.67
254,Central America and the Caribbean,Panama,Baby Food,Online,H,5/19/2022,205588376,7024,$257.74,$160.95,$1810365.76,$1130512.8,$679852.96
255,Europe,Norway,Personal Care,Offline,M,6/8/2018,594813811,7480,$83.41,$57.84,$623906.8,$432643.2,$191263.6
256,Europe,Estonia,Clothes,Online,H,9/8/2018,176722657,5016,$109.01,$35.75,$546794.16,$179322.0,$367472.16
257,Europe,Malta,Personal Care,Offline,M,8/16/2017,466988742,1201,$81.65,$56.61,$98061.65,$67988.61,$30073.04
258,North America,Eritrea,Personal Care,Offline,L,5/14/2018,801598393,9633,$83.41,$57.84,$803488.53,$557172.72,$246315.81
259,North America,Republic of the Congo,Meat,Offline,M,4/28/2023,586850440,941,$421.9,$364.7,$397007.9,$343182.7,$53825.2
260,Central America and the Caribbean,Trinidad and Tobago,Snacks,Offline,H,5/21/2020,649356210,7787,$165.45,$105.66,$1288359.15,$822774.42,$465584.73
261,Middle East and North Africa,Yemen,Cereal,Offline,H,11/15/2023,986039531,9864,$200.03,$113.88,$1973095.92,$1123312.32,$849783.6
262,Asia,Turkmenistan,Household,Offline,H,1/10/2018,314136731,8894,$713.1,$536.25,$6342311.4,$4769407.5,$1572903.9
263,Middle East and North Africa,Somalia,Beverages,Offline,H,1/28/2023,121196639,3634,$43.24,$28.97,$157134.16,$105276.98,$51857.18
264,Europe,Portugal,Cereal,Online,C,8/11/2023,615080583,4868,$200.03,$113.88,$973746.04,$554367.84,$419378.2
265,Asia,Kyrgyzstan,Fruits,Offline,L,8/19/2022,273962390,414,$9.98,$7.4,$4131.72,$3063.6,$1068.12
266,Middle East and North Africa,Lebanon,Personal Care,Offline,H,8/22/2020,796328389,121,$80.44,$55.77,$9733.24,$6748.17,$2985.07
267,Europe,Macedonia,Cosmetics,Online,C,12/26/2016,350977408,869,$447.9,$269.77,$389225.1,$234430.13,$154794.97
268,Middle East and North Africa,Algeria,Clothes,Offline,M,8/27/2023,327020776,1570,$119.17,$39.08,$187096.9,$61355.6,$125741.3
269,Middle East and North Africa,Qatar,Vegetables,Online,H,3/11/2019,383882319,8164,$158.59,$93.61,$1294728.76,$764232.04,$530496.72
270,Europe,Greece,Personal Care,Offline,M,12/8/2017,701298367,8626,$81.65,$56.61,$704312.9,$488317.86,$215995.04
271,North America,Benin,Fruits,Online,M,6/27/2021,629317748,7961,$9.73,$7.21,$77460.53,$57398.81,$20061.72
272,Asia,Uzbekistan,Baby Food,Offline,C,10/21/2019,938301789,3205,$279.84,$174.76,$896887.2,$560105.8,$336781.4
273,Middle East and North Africa,Azerbaijan,Vegetables,Online,L,6/1/2018,668924319,8426,$151.37,$89.34,$1275443.62,$752778.84,$522664.78
274,Asia,Cambodia,Clothes,Online,C,10/8/2016,282171666,9721,$107.69,$35.32,$1046854.49,$343345.72,$703508.77
275,Europe,Italy,Personal Care,Online,C,2/25/2017,309342658,222,$81.65,$56.61,$18126.3,$12567.42,$5558.88
276,North America,Mauritius ,Cosmetics,Online,H,12/5/2022,902048623,5088,$465.35,$280.28,$2367700.8,$1426064.64,$941636.16
277,Middle East and North Africa,Yemen,Clothes,Online,H,8/6/2019,482213389,6513,$107.81,$35.36,$702166.53,$230299.68,$471866.85
278,Central America and the Caribbean,Cuba,Vegetables,Offline,C,6/7/2016,692073285,8719,$148.02,$87.37,$1290586.38,$761779.03,$528807.35
279,Australia and Oceania,Tonga,Fruits,Online,L,12/27/2019,544177138,2963,$9.06,$6.72,$26844.78,$19911.36,$6933.42
280,Central America and the Caribbean,Guatemala,Vegetables,Online,M,9/28/2022,471386277,2530,$147.2,$86.88,$372416.0,$219806.4,$152609.6
281,Australia and Oceania,New Zealand,Personal Care,Online,L,1/8/2022,976874530,7737,$89.69,$62.19,$693931.53,$481164.03,$212767.5
282,Europe,Norway,Household,Offline,M,3/20/2016,384128224,933,$725.57,$545.63,$676956.81,$509072.79,$167884.02
283,North America,South Africa,Personal Care,Online,H,2/21/2016,686946189,1498,$82.74,$57.37,$123944.52,$85940.26,$38004.26
284,North America,Zambia,Snacks,Offline,M,7/14/2018,799439752,843,$163.56,$104.45,$137881.08,$88051.35,$49829.73
285,Central America and the Caribbean,Saint Kitts and Nevis ,Cereal,Online,M,5/29/2017,606032741,7410,$200.77,$114.3,$1487705.7,$846963.0,$640742.7
286,Asia,Indonesia,Beverages,Offline,H,12/25/2022,511461484,1674,$48.07,$32.2,$80469.18,$53902.8,$26566.38
287,Europe,Netherlands,Household,Offline,C,1/17/2020,990774810,1138,$660.77,$496.9,$751956.26,$565472.2,$186484.06
288,Asia,Thailand,Snacks,Offline,M,3/2/2017,339334046,5340,$139.94,$89.37,$747279.6,$477235.8,$270043.8
289,North America,Republic of the Congo,Personal Care,Offline,C,3/10/2020,522813022,846,$80.44,$55.77,$68052.24,$47181.42,$20870.82
290,North America,Equatorial Guinea,Fruits,Offline,M,11/17/2020,427198064,6255,$9.38,$6.96,$58671.9,$43534.8,$15137.1
291,Asia,Tajikistan,Beverages,Offline,C,6/3/2021,808788001,7197,$49.88,$33.42,$358986.36,$240523.74,$118462.62
292,North America,Botswana,Meat,Offline,L,12/7/2017,244194161,1334,$436.35,$377.19,$582090.9,$503171.46,$78919.44
293,Central America and the Caribbean,Dominican Republic,Fruits,Offline,L,2/1/2022,980340373,3357,$9.98,$7.4,$33502.86,$24841.8,$8661.06
294,Australia and Oceania,Samoa ,Beverages,Online,M,10/6/2016,384462964,9990,$43.95,$29.44,$439060.5,$294105.6,$144954.9
295,Europe,Belgium,Vegetables,Offline,C,12/26/2017,394110763,4988,$157.9,$93.19,$787605.2,$464831.72,$322773.48
296,Australia and Oceania,Federated States of Micronesia,Cosmetics,Online,L,2/12/2020,767145097,4137,$444.24,$267.57,$1837820.88,$1106937.09,$730883.79
297,North America,Botswana,Fruits,Online,L,5/21/2022,431739795,254,$9.98,$7.4,$2534.92,$1879.6,$655.32
298,Asia,Vietnam,Cereal,Online,L,7/2/2017,636381185,8189,$200.77,$114.3,$1644105.53,$936002.7,$708102.83
299,Europe,Kosovo,Fruits,Online,C,3/2/2018,899868094,9821,$8.73,$6.47,$85737.33,$63541.87,$22195.46
300,Europe,Germany,Baby Food,Offline,L,1/6/2021,361311852,9061,$230.66,$144.04,$2090010.26,$1305146.44,$784863.82
301,Europe,Hungary,Beverages,Online,L,5/20/2020,930136287,6852,$48.74,$32.65,$333966.48,$223717.8,$110248.68
302,Central America and the Caribbean,Saint Lucia,Cereal,Online,L,5/19/2022,536077725,6167,$213.22,$121.39,$1314927.74,$748612.13,$566315.61
303,North America,Madagascar,Snacks,Online,M,4/6/2021,779184997,7011,$142.54,$91.03,$999347.94,$638211.33,$361136.61
304,Europe,Bulgaria,Cosmetics,Online,C,5/5/2018,179819428,1420,$419.34,$252.57,$595462.8,$358649.4,$236813.4
305,Asia,Myanmar,Vegetables,Online,H,12/7/2022,928654849,8461,$147.2,$86.88,$1245459.2,$735091.68,$510367.52
306,North America,Togo,Baby Food,Offline,H,2/14/2021,336677587,9234,$230.66,$144.04,$2129914.44,$1330065.36,$799849.08
307,Australia and Oceania,Australia,Vegetables,Online,C,6/2/2017,285186469,1869,$157.9,$93.19,$295115.1,$174172.11,$120942.99
308,Middle East and North Africa,Morocco,Baby Food,Offline,M,7/15/2020,475792825,6525,$236.58,$147.74,$1543684.5,$964003.5,$579681.0
309,Middle East and North Africa,Qatar,Clothes,Offline,L,10/6/2023,680420482,396,$119.17,$39.08,$47191.32,$15475.68,$31715.64
310,Europe,Bosnia and Herzegovina,Fruits,Online,H,1/5/2019,291305768,2705,$9.06,$6.72,$24507.3,$18177.6,$6329.7
311,Middle East and North Africa,Iraq,Baby Food,Offline,L,8/19/2022,570997512,9707,$257.74,$160.95,$2501882.18,$1562341.65,$939540.53
312,Europe,Russia,Personal Care,Online,L,4/24/2023,602357041,9689,$88.17,$61.14,$854279.13,$592385.46,$261893.67
313,Middle East and North Africa,Lebanon,Meat,Online,M,2/26/2016,438558185,7967,$452.67,$391.29,$3606421.89,$3117407.43,$489014.46
314,Europe,Albania,Snacks,Online,H,12/2/2016,653087270,1891,$141.5,$90.37,$267576.5,$170889.67,$96686.83
315,Australia and Oceania,Samoa ,Cereal,Offline,C,1/23/2021,989743125,5840,$204.35,$116.34,$1193404.0,$679425.6,$513978.4
316,Europe,Slovenia,Fruits,Offline,M,12/15/2019,812637078,6225,$9.06,$6.72,$56398.5,$41832.0,$14566.5
317,Europe,Macedonia,Personal Care,Online,L,7/19/2020,456192958,6489,$80.44,$55.77,$521975.16,$361891.53,$160083.63
318,Middle East and North Africa,Lebanon,Cereal,Online,L,2/17/2016,775147092,2105,$201.4,$114.66,$423947.0,$241359.3,$182587.7
319,North America,Comoros,Household,Offline,M,12/28/2017,894548308,5578,$718.44,$540.27,$4007458.32,$3013626.06,$993832.26
320,North America,Cameroon,Cosmetics,Offline,H,5/3/2021,459757936,1445,$418.06,$251.8,$604096.7,$363851.0,$240245.7
321,Europe,Albania,Meat,Offline,H,1/31/2019,986449801,1272,$394.44,$340.96,$501727.68,$433701.12,$68026.56
322,Europe,Sweden,Cosmetics,Online,L,7/3/2021,910610234,8659,$418.06,$251.8,$3619981.54,$2180336.2,$1439645.34
323,North America,Liberia,Cereal,Offline,H,11/8/2023,538538062,4235,$200.03,$113.88,$847127.05,$482281.8,$364845.25
324,Europe,Norway,Meat,Online,M,3/3/2021,696844613,661,$418.24,$361.54,$276456.64,$238977.94,$37478.7
325,Middle East and North Africa,Israel,Fruits,Online,H,8/18/2018,482453715,7630,$8.73,$6.47,$66609.9,$49366.1,$17243.8
326,Central America and the Caribbean,Cuba,Office Supplies,Offline,L,3/11/2021,412601697,6866,$681.53,$549.4,$4679384.98,$3772180.4,$907204.58
327,Central America and the Caribbean,Nicaragua,Meat,Offline,M,10/17/2018,174837386,7123,$391.97,$338.82,$2792002.31,$2413414.86,$378587.45
328,Middle East and North Africa,Kuwait,Personal Care,Offline,L,9/29/2018,877022111,9187,$83.41,$57.84,$766287.67,$531376.08,$234911.59
329,Sub-Saharan Africa,United States of America,Cereal,Offline,M,6/22/2018,997329699,876,$212.12,$120.77,$185817.12,$105794.52,$80022.6
330,North America,Rwanda,Snacks,Offline,M,1/19/2022,434246480,2038,$140.03,$89.43,$285381.14,$182258.34,$103122.8
331,Central America and the Caribbean,Jamaica,Cereal,Online,C,4/3/2021,956571280,9554,$204.35,$116.34,$1952359.9,$1111512.36,$840847.54
332,Europe,Czech Republic,Personal Care,Online,M,12/4/2016,353415429,2334,$82.74,$57.37,$193115.16,$133901.58,$59213.58
333,North America,Kenya,Vegetables,Online,H,11/27/2017,984202754,6321,$157.9,$93.19,$998085.9,$589053.99,$409031.91
334,North America,Central African Republic,Beverages,Offline,H,5/16/2019,328669583,9488,$47.12,$31.57,$447074.56,$299536.16,$147538.4
335,Middle East and North Africa,Jordan,Cosmetics,Offline,C,5/16/2019,436864745,6841,$460.68,$277.47,$3151511.88,$1898172.27,$1253339.61
336,Middle East and North Africa,Tunisia ,Household,Offline,M,1/1/2017,279149568,5415,$718.44,$540.27,$3890352.6,$2925562.05,$964790.55
337,Europe,Andorra,Cereal,Online,H,3/19/2016,696197879,9278,$201.4,$114.66,$1868589.2,$1063815.48,$804773.72
338,Sub-Saharan Africa,United States of America,Household,Offline,M,1/9/2022,348996007,4529,$685.69,$515.64,$3105490.01,$2335333.56,$770156.45
339,North America,Cote d'Ivoire,Beverages,Offline,L,8/3/2023,668842780,4297,$43.24,$28.97,$185802.28,$124484.09,$61318.19
340,Europe,Iceland,Cosmetics,Online,C,4/5/2018,907349526,3743,$419.34,$252.57,$1569589.62,$945369.51,$624220.11
341,Europe,Poland,Personal Care,Offline,C,4/5/2020,386440074,5060,$80.44,$55.77,$407026.4,$282196.2,$124830.2
342,North America,Madagascar,Vegetables,Offline,C,9/19/2023,748350751,2472,$141.08,$83.27,$348749.76,$205843.44,$142906.32
343,Central America and the Caribbean,Saint Kitts and Nevis ,Personal Care,Online,L,8/12/2023,105630385,7233,$88.17,$61.14,$637733.61,$442225.62,$195507.99
344,Asia,Sri Lanka,Cosmetics,Offline,L,12/30/2019,691140305,2630,$460.68,$277.47,$1211588.4,$729746.1,$481842.3
345,North America,Comoros,Cosmetics,Offline,H,10/8/2023,308054339,8980,$399.45,$240.59,$3587061.0,$2160498.2,$1426562.8
346,North America,Senegal,Fruits,Offline,H,9/29/2017,879858815,8631,$9.88,$7.33,$85274.28,$63265.23,$22009.05
347,Europe,Finland,Vegetables,Online,H,9/28/2018,800352561,963,$151.37,$89.34,$145769.31,$86034.42,$59734.89
348,North America,Sao Tome and Principe,Baby Food,Online,L,7/1/2023,783646905,7388,$271.86,$169.77,$2008501.68,$1254260.76,$754240.92
349,Europe,Poland,Beverages,Offline,C,1/8/2020,714165675,6348,$48.74,$32.65,$309401.52,$207262.2,$102139.32
350,Asia,Turkmenistan,Meat,Offline,H,12/20/2016,996645200,8317,$452.67,$391.29,$3764856.39,$3254358.93,$510497.46
351,Middle East and North Africa,Saudi Arabia,Office Supplies,Offline,M,11/2/2019,306134307,799,$640.48,$516.31,$511743.52,$412531.69,$99211.83
352,Asia,Brunei,Snacks,Offline,M,1/20/2022,537994325,3331,$140.03,$89.43,$466439.93,$297891.33,$168548.6
353,Asia,Philippines,Cereal,Online,M,11/20/2023,957899081,2480,$200.03,$113.88,$496074.4,$282422.4,$213652.0
354,Asia,India,Office Supplies,Online,M,9/4/2018,451834905,6844,$601.4,$484.81,$4115981.6,$3318039.64,$797941.96
355,North America,Cote d'Ivoire,Baby Food,Online,H,8/13/2016,676100623,2054,$250.04,$156.15,$513582.16,$320732.1,$192850.06
356,Australia and Oceania,Vanuatu,Snacks,Offline,M,12/15/2020,207307565,5770,$165.45,$105.66,$954646.5,$609658.2,$344988.3
357,Asia,Japan,Baby Food,Offline,H,1/29/2019,392379558,2685,$279.84,$174.76,$751370.4,$469230.6,$282139.8
358,Australia and Oceania,Nauru,Cosmetics,Online,M,3/1/2022,398552930,9524,$465.35,$280.28,$4431993.4,$2669386.72,$1762606.68
359,Middle East and North Africa,Pakistan,Office Supplies,Offline,L,7/6/2021,363376510,39,$681.53,$549.4,$26579.67,$21426.6,$5153.07
360,Middle East and North Africa,Morocco,Vegetables,Offline,H,6/29/2017,944711625,18,$157.9,$93.19,$2842.2,$1677.42,$1164.78
361,North America,Cameroon,Household,Online,C,6/18/2018,170732104,2279,$713.1,$536.25,$1625154.9,$1222113.75,$403041.15
362,Europe,Croatia,Beverages,Offline,L,2/22/2019,189924275,1668,$47.12,$31.57,$78596.16,$52658.76,$25937.4
363,Asia,Thailand,Clothes,Offline,L,2/6/2017,521086966,68,$109.51,$35.92,$7446.68,$2442.56,$5004.12
364,Asia,Kyrgyzstan,Meat,Online,M,7/11/2018,303331506,1388,$391.97,$338.82,$544054.36,$470282.16,$73772.2
365,Europe,Poland,Meat,Online,H,4/30/2019,546081721,6571,$394.44,$340.96,$2591865.24,$2240448.16,$351417.08
366,Europe,Switzerland,Baby Food,Online,C,6/26/2016,979073941,8591,$250.04,$156.15,$2148093.64,$1341484.65,$806608.99
367,North America,Sao Tome and Principe,Vegetables,Offline,L,5/21/2019,502356994,7453,$158.59,$93.61,$1181971.27,$697675.33,$484295.94
368,Australia and Oceania,New Zealand,Meat,Online,H,5/7/2021,336292207,5192,$418.24,$361.54,$2171502.08,$1877115.68,$294386.4
369,North America,Equatorial Guinea,Personal Care,Online,H,12/19/2020,871553409,876,$80.44,$55.77,$70465.44,$48854.52,$21610.92
